"id","sequence","description","invoice_label","type_tax_use","name","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids"
"account_tax_template_p_igic3_imp_inv_bc","0","IGIC 3% Importaciones (Operaciones de inversión)","IGIC 3% Imp.de Inversión","purchase","3% G INC Imp Inv Can","3% IGIC Importaciones (Operaciones de inversión)","3% IGIC Importaciones (Operaciones de inversión)","3.0","percent","tax_group_igic_3","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_p_igic7_imp_inv_bc","0","IGIC 7% Importaciones (Operaciones de inversión)","IGIC 7% Imp.de Inversión","purchase","7% G INC Imp Inv Can","7% IGIC Importaciones (Operaciones de inversión)","7% IGIC Importaciones (Operaciones de inversión)","7.0","percent","tax_group_igic_7","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_p_igic95_imp_inv_bc","0","IGIC 9,5% Importaciones (Operaciones de inversión)","IGIC 9,5% Imp.de Inversión","purchase","9,5% G INC Imp Inv Can","9,5% IGIC Importaciones (Operaciones de inversión)","9,5% IGIC Importaciones (Operaciones de inversión)","9.5","percent","tax_group_igic_95","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_p_igic15_imp_inv_bc","0","IGIC 15% Importaciones (Operaciones de inversión)","IGIC 15% Imp.de Inversión","purchase","15% G INC Imp Inv Can","15% IGIC Importaciones (Operaciones de inversión)","15% IGIC Importaciones (Operaciones de inversión)","15.0","percent","tax_group_igic_15","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_p_igic20_imp_inv_bc","0","IGIC 20% Importaciones (Operaciones de inversión)","IGIC 20% Imp.de Inversión","purchase","20% G INC Imp Inv Can","20% IGIC Importaciones (Operaciones de inversión)","20% IGIC Importaciones (Operaciones de inversión)","20.0","percent","tax_group_igic_20","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_p_igic0_re_bc","0","IGIC 0% Compras (Recargo a la importación)","IGIC 0% Recargo Imp.","purchase","0% G INC Re.Imp Can","0% IGIC Compras (Recargo a la importación)","0% IGIC Compras (Recargo a la importación)","0.0","percent","tax_group_igic_re_0","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_p_igic03_re_bc","0","IGIC 0,3% Compras (Recargo a la importación)","IGIC 0,3% Recargo Imp.","purchase","0,3% G INC Re.Imp Can","0,3% IGIC Compras (Recargo a la importación)","0,3% IGIC Compras (Recargo a la importación)","0.3","percent","tax_group_igic_re_03","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_p_igic07_re_bc","0","IGIC 0,7% Compras (Recargo a la importación)","IGIC 0,7% Recargo Imp.","purchase","0,7% G INC Re.Imp Can","0,7% IGIC Compras (Recargo a la importación)","0,7% IGIC Compras (Recargo a la importación)","0.7","percent","tax_group_igic_re_07","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_p_igic095_re_bc","0","IGIC 0,95% Compras (Recargo a la importación)","IGIC 0,95% Recargo Imp.","purchase","0,95% G INC Re.Imp Can","0,95% IGIC Compras (Recargo a la importación)","0,95% IGIC Compras (Recargo a la importación)","0.95","percent","tax_group_igic_re_095","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_p_igic15_re_bc","0","IGIC 1,5% Compras (Recargo a la importación)","IGIC 1,5% Recargo Imp.","purchase","1,5% G INC Re.Imp Can","1,5% IGIC Compras (Recargo a la importación)","1,5% IGIC Compras (Recargo a la importación)","1.5","percent","tax_group_igic_re_15","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_p_igic20_re_bc","0","IGIC 2,0% Compras (Recargo a la importación)","IGIC 2,0% Recargo Imp.","purchase","2,0% G INC Re.Imp Can","2,0% IGIC Compras (Recargo a la importación)","2,0% IGIC Compras (Recargo a la importación)","2.0","percent","tax_group_igic_re_20","","sujeto","","","consu","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""





"account_tax_template_s_igic0s","","IGIC 0% (Servicios)","IGIC 0%","sale","0% S Can","IGIC 0% (Servicios)","IGIC 0% (serveis)","0.0","percent","tax_group_igic_0","","sujeto","","","service","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic0_sc","","IGIC 0% (Servicios)","IGIC 0%","purchase","0% S INC Can","0% IGIC soportado (servicios corrientes)","0% IGIC suportat (serveis corrents)","0.0","percent","tax_group_igic_0","","sujeto","","","service","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic3s","","IGIC 3% (Servicios)","IGIC 3%","sale","3% S Can","IGIC 3% (Servicios)","IGIC 3% (serveis)","3.0","percent","tax_group_igic_3","","sujeto","","","service","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic3_sc","","IGIC 3% (Servicios)","IGIC 3%","purchase","3% S INC Can","3% IGIC soportado (servicios corrientes)","3% IGIC suportat (serveis corrents)","3.0","percent","tax_group_igic_3","","sujeto","","","service","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic7s","","IGIC 7% (Servicios)","IGIC 7%","sale","7% S Can","IGIC 7% (Servicios)","IGIC 7% (serveis)","7.0","percent","tax_group_igic_7","","sujeto","","","service","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic7_sc","","IGIC 7% (Servicios)","IGIC 7%","purchase","7% S INC Can","7% IGIC soportado (servicios corrientes)","7% IGIC suportat (serveis corrents)","7.0","percent","tax_group_igic_7","","sujeto","","","service","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic95s","","IGIC 9,5% (Servicios)","IGIC 9,5%","sale","9,5% S Can","IGIC 9,5% (Servicios)","IGIC 9,5% (serveis)","9.5","percent","tax_group_igic_95","","sujeto","","","service","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic95_sc","","IGIC 9,5% (Servicios)","IGIC 9,5%","purchase","9,5% S INC Can","9,5% IGIC soportado (servicios corrientes)","9,5% IGIC suportat (serveis corrents)","9.5","percent","tax_group_igic_95","","sujeto","","","service","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic15s","","IGIC 15% (Servicios)","IGIC 15%","sale","15% S Can","IGIC 15% (Servicios)","IGIC 15% (serveis)","15.0","percent","tax_group_igic_15","","sujeto","","","service","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic15_sc","","IGIC 15% (Servicios)","IGIC 15%","purchase","15% S INC Can","15% IGIC soportado (servicios corrientes)","15% IGIC suportat (serveis corrents)","15.0","percent","tax_group_igic_15","","sujeto","","","service","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""

"account_tax_template_s_igic20s","","IGIC 20% (Servicios)","IGIC 20%","sale","20% S Can","IGIC 20% (Servicios)","IGIC 20% (serveis)","20.0","percent","tax_group_igic_20","","sujeto","","","service","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4777","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4777","","",""
"account_tax_template_p_igic20_sc","","IGIC 20% (Servicios)","IGIC 20%","purchase","20% S INC Can","20% IGIC soportado (servicios corrientes)","20% IGIC suportat (serveis corrents)","20.0","percent","tax_group_igic_20","","sujeto","","","service","","base","","invoice","","","",""
"","","","","","","","","","","","","","","","","","tax","","invoice","account_common_canary_4727","","",""
"","","","","","","","","","","","","","","","","","base","","refund","","","",""
"","","","","","","","","","","","","","","","","","tax","","refund","account_common_canary_4727","","",""
