"id","sequence","name","name@es","name@ca","auto_apply","vat_required","state_ids","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
,,,,,,,,,,"account_tax_template_igic_r_3","account_tax_template_igic_s_ISP0",,
,,,,,,,,,,"account_tax_template_igic_r_5","account_tax_template_igic_s_ISP0",,
,,,,,,,,,,"account_tax_template_igic_r_7","account_tax_template_igic_s_ISP0",,
,,,,,,,,,,"account_tax_template_igic_r_9_5","account_tax_template_igic_s_ISP0",,
,,,,,,,,,,"account_tax_template_igic_r_15","account_tax_template_igic_s_ISP0",,
,,,,,,,,,,"account_tax_template_igic_r_20","account_tax_template_igic_s_ISP0",,

"fp_retailer_canary",,"Régimen Minoristas Islas Canarias","Régimen Minoristas Islas Canarias","Régimen Minoristas Islas Canarias",,,,"base.es",,,,,
,,,,,,,,,,"account_tax_template_igic_r_0","account_tax_template_igic_cmino",,
,,,,,,,,,,"account_tax_template_igic_r_1","account_tax_template_igic_cmino",,
,,,,,,,,,,"account_tax_template_igic_r_3","account_tax_template_igic_cmino",,
,,,,,,,,,,"account_tax_template_igic_r_5","account_tax_template_igic_cmino",,
,,,,,,,,,,"account_tax_template_igic_r_7","account_tax_template_igic_cmino",,
,,,,,,,,,,"account_tax_template_igic_r_9_5","account_tax_template_igic_cmino",,
,,,,,,,,,,"account_tax_template_igic_r_15","account_tax_template_igic_cmino",,
,,,,,,,,,,"account_tax_template_igic_r_20","account_tax_template_igic_cmino",,
,,,,,,,,,,"account_tax_template_igic_sop_0","account_tax_template_igic_sop_cmino",,
,,,,,,,,,,"account_tax_template_igic_sop_1","account_tax_template_igic_sop_1_cmino",,
,,,,,,,,,,"account_tax_template_igic_sop_3","account_tax_template_igic_sop_3_cmino",,
,,,,,,,,,,"account_tax_template_igic_sop_5","account_tax_template_igic_sop_5_cmino",,
,,,,,,,,,,"account_tax_template_igic_sop_7","account_tax_template_igic_sop_7_cmino",,
,,,,,,,,,,"account_tax_template_igic_sop_9_5","account_tax_template_igic_sop_9_5_cmino",,
,,,,,,,,,,"account_tax_template_igic_sop_15","account_tax_template_igic_sop_15_cmino",,
,,,,,,,,,,"account_tax_template_igic_sop_20","account_tax_template_igic_sop_20_cmino",,

"fp_dua",,"DUA",,,,,,,,"account_tax_template_p_iva4_bc","account_tax_template_p_iva4_ibc_group",,
,,,,,,,,,,"account_tax_template_p_iva10_bc","account_tax_template_p_iva10_ibc_group",,
,,,,,,,,,,"account_tax_template_p_iva21_bc","account_tax_template_p_iva21_ibc_group",,
,,,,,,,,,,"account_tax_template_igic_sop_0","account_tax_template_p_dua_exempt",,
,,,,,,,,,,"account_tax_template_igic_sop_1","account_tax_template_p_dua_exempt",,
,,,,,,,,,,"account_tax_template_igic_sop_3","account_tax_template_p_dua_exempt",,
,,,,,,,,,,"account_tax_template_igic_sop_5","account_tax_template_p_dua_exempt",,
,,,,,,,,,,"account_tax_template_igic_sop_7","account_tax_template_p_dua_exempt",,
,,,,,,,,,,"account_tax_template_igic_sop_9_5","account_tax_template_p_dua_exempt",,
,,,,,,,,,,"account_tax_template_igic_sop_15","account_tax_template_p_dua_exempt",,
,,,,,,,,,,"account_tax_template_igic_sop_20","account_tax_template_p_dua_exempt",,
