id,account_id:id,field_number,field_type,inverse,map_parent_id:id,move_type,name,sum_type,tax_ids/id
aeat_mod390_2024_map_line_202,,"202","base","True","aeat_mod390_2024_map","regular","IVA deducible en importaciones de bienes corrientes - Base 4%","both","l10n_es.account_tax_template_p_iva4_ibc"
aeat_mod390_2024_map_line_203,,"203","amount","True","aeat_mod390_2024_map","regular","IVA deducible en importaciones de bienes corrientes - Cuota 4%","both","l10n_es.account_tax_template_p_iva4_ibc"
aeat_mod390_2024_map_line_208,,"208","base","True","aeat_mod390_2024_map","regular","IVA deducible en importaciones de bienes de inversión - Base 4%","both","l10n_es.account_tax_template_p_iva4_ibi"
aeat_mod390_2024_map_line_209,,"209","amount","True","aeat_mod390_2024_map","regular","IVA deducible en importaciones de bienes de inversión - Cuota 4%","both","l10n_es.account_tax_template_p_iva4_ibi"
aeat_mod390_2024_map_line_214,,"214","base","True","aeat_mod390_2024_map","regular","IVA deducible en adquisiciones intracomunitarias de bienes corrientes - Base 4%","both","l10n_es.account_tax_template_p_iva4_ic_bc"
aeat_mod390_2024_map_line_215,"l10n_es.account_common_472","215","amount","True","aeat_mod390_2024_map","regular","IVA deducible en adquisiciones intracomunitarias de bienes corrientes - Cuota 4%","both","l10n_es.account_tax_template_p_iva4_ic_bc"
aeat_mod390_2024_map_line_220,,"220","base","True","aeat_mod390_2024_map","regular","IVA deducible en adquisiciones intracomunitarias de bienes de inversión - Base 4%","both","l10n_es.account_tax_template_p_iva4_ic_bi"
aeat_mod390_2024_map_line_221,"l10n_es.account_common_472","221","amount","True","aeat_mod390_2024_map","regular","IVA deducible en adquisiciones intracomunitarias de bienes de inversión - Cuota 4%","both","l10n_es.account_tax_template_p_iva4_ic_bi"
aeat_mod390_2024_map_line_230,,"230","base","True","aeat_mod390_2024_map","all","Adquisiciones interiores exentas","both","l10n_es.account_tax_template_p_iva0_bc"
aeat_mod390_2024_map_line_232,,"232","base","True","aeat_mod390_2024_map","all","Bases imponibles del IVA soportado no deducible","both","l10n_es.account_tax_template_p_iva2_nd,l10n_es.account_tax_template_p_iva4_nd,l10n_es.account_tax_template_p_iva5_nd,l10n_es.account_tax_template_p_iva7-5_nd,l10n_es.account_tax_template_p_iva10_nd,l10n_es.account_tax_template_p_iva0_nd"
aeat_mod390_2024_map_line_545,,"545","base","True","aeat_mod390_2024_map","regular","Adquisiciones intracomunitarias de servicios - Base 4%","both","l10n_es.account_tax_template_p_iva4_sp_in"
aeat_mod390_2024_map_line_546,"l10n_es.account_common_472","546","amount","True","aeat_mod390_2024_map","regular","Adquisiciones intracomunitarias de servicios - Cuota 4%","both","l10n_es.account_tax_template_p_iva4_sp_in"
aeat_mod390_2024_map_line_547,,"547","base","True","aeat_mod390_2024_map","regular","Adquisiciones intracomunitarias de servicios - Base 10%","both","l10n_es.account_tax_template_p_iva10_sp_in"
aeat_mod390_2024_map_line_548,"l10n_es.account_common_472","548","amount","True","aeat_mod390_2024_map","regular","Adquisiciones intracomunitarias de servicios - Cuota 10%","both","l10n_es.account_tax_template_p_iva10_sp_in"
aeat_mod390_2024_map_line_551,,"551","base","True","aeat_mod390_2024_map","regular","Adquisiciones intracomunitarias de servicios - Base 21%","both","l10n_es.account_tax_template_p_iva21_sp_in"
aeat_mod390_2024_map_line_552,"l10n_es.account_common_472","552","amount","True","aeat_mod390_2024_map","regular","Adquisiciones intracomunitarias de servicios - Cuota 21%","both","l10n_es.account_tax_template_p_iva21_sp_in"
aeat_mod390_2024_map_line_587,,"587","base","True","aeat_mod390_2024_map","regular","IVA deducible en adquisiciones intracomunitarias de servicios - Base 4%","both","l10n_es.account_tax_template_p_iva4_sp_in"
aeat_mod390_2024_map_line_588,"l10n_es.account_common_472","588","amount","True","aeat_mod390_2024_map","regular","IVA deducible en adquisiciones intracomunitarias de servicios - Cuota 4%","both","l10n_es.account_tax_template_p_iva4_sp_in"
aeat_mod390_2024_map_line_599,,"599","base","False","aeat_mod390_2024_map","regular","Recargo de equivalencia - Base 1,4%","both","l10n_es.account_tax_template_s_req014"
aeat_mod390_2024_map_line_600,,"600","amount","False","aeat_mod390_2024_map","regular","Recargo de equivalencia - Cuota 1,4%","both","l10n_es.account_tax_template_s_req014"
